vignette,cycle,pc,pc_slots,pc_covered,conforms,ttl_file
vignette_085,1,1.0,47,47,True,cycle_01.ttl
vignette_086,0,0.9836065573770492,61,60,False,cycle_00.ttl
vignette_086,1,1.0,61,61,True,cycle_01.ttl
vignette_087,0,0.9777777777777777,45,44,False,cycle_00.ttl
vignette_087,1,1.0,45,45,True,cycle_01.ttl
vignette_088,0,1.0,36,36,False,cycle_00.ttl
vignette_088,1,1.0,36,36,True,cycle_01.ttl
vignette_089,0,0.75,4,3,False,cycle_00.ttl
vignette_089,1,1.0,4,4,True,cycle_01.ttl
vignette_090,0,0.8333333333333334,6,5,False,cycle_00.ttl
vignette_091,0,0.9743589743589743,39,38,False,cycle_00.ttl
vignette_091,1,1.0,39,39,True,cycle_01.ttl
vignette_092,0,0.975,40,39,False,cycle_00.ttl
vignette_092,1,1.0,40,40,True,cycle_01.ttl
vignette_093,0,0.9444444444444444,18,17,False,cycle_00.ttl
vignette_093,1,1.0,18,18,True,cycle_01.ttl
vignette_094,0,0.9444444444444444,18,17,False,cycle_00.ttl
vignette_094,1,1.0,18,18,True,cycle_01.ttl
vignette_095,0,0.9444444444444444,18,17,False,cycle_00.ttl
vignette_095,1,1.0,18,18,True,cycle_01.ttl
vignette_096,0,0.9444444444444444,18,17,False,cycle_00.ttl
vignette_096,1,1.0,18,18,True,cycle_01.ttl
vignette_097,0,0.9444444444444444,18,17,False,cycle_00.ttl
vignette_097,1,1.0,18,18,True,cycle_01.ttl
vignette_098,0,0.9545454545454546,22,21,False,cycle_00.ttl
vignette_098,1,1.0,22,22,True,cycle_01.ttl
vignette_099,0,0.9545454545454546,22,21,False,cycle_00.ttl
vignette_099,1,1.0,22,22,True,cycle_01.ttl
vignette_100,0,0.9545454545454546,22,21,False,cycle_00.ttl
vignette_100,1,1.0,22,22,True,cycle_01.ttl
vignette_101,0,0.9545454545454546,22,21,False,cycle_00.ttl
vignette_101,1,1.0,22,22,True,cycle_01.ttl
vignette_102,0,0.9743589743589743,39,38,False,cycle_00.ttl
vignette_102,1,1.0,39,39,True,cycle_01.ttl
vignette_103,0,0.9714285714285714,35,34,False,cycle_00.ttl
vignette_103,1,1.0,35,35,True,cycle_01.ttl
vignette_104,0,0.9791666666666666,48,47,False,cycle_00.ttl
vignette_104,1,,0,0,False,cycle_01.ttl
vignette_104,2,,0,0,True,cycle_02.ttl
vignette_105,0,0.8333333333333334,6,5,False,cycle_00.ttl
vignette_105,1,1.0,6,6,True,cycle_01.ttl
vignette_106,0,0.75,4,3,False,cycle_00.ttl
vignette_106,1,1.0,4,4,True,cycle_01.ttl
vignette_107,0,0.9833333333333333,60,59,False,cycle_00.ttl
vignette_107,1,1.0,60,60,True,cycle_01.ttl
vignette_108,0,0.75,4,3,False,cycle_00.ttl
vignette_108,1,1.0,4,4,True,cycle_01.ttl
